name,wealth,country,year,age
"de Azevedo, Belmiro",1.5,Portugal,2000,
"Harmsworth, Jonathan",1.5,UK,2000,
"Kudelski, Andre",1.5,Switzerland,2000,
Liebherr family,1.5,Switzerland,2000,
"Martin Bringas, Ricardo and family",1.5,Mexico,2000,
"Swire, Sir Adrian and family",1.5,United Kingdom,2000,
"Ty, George",1.5,Philippines,2000,
"Botin, Emilio and family",1.4,Spain,2000,
"Diniz, Abilio dos Santos and family",1.4,Brazil,2000,
"Fujita, Den",1.4,Japan,2000,
"Hilti, Michael",1.4,Liechtenstein,2000,
"Matte, Eliodoro",1.4,Chile,2000,
"Nakajima, Kenkichi",1.4,Japan,2000,
"Ogiwara, Ikuo",1.4,Japan,2000,
"Saba Raffoul, Isaac and family",1.4,Mexico,2000,
"Salinas Pliego, Ricardo and family",1.4,Mexico,2000,
"Tane, Hiroshi",1.4,Japan,2000,
Tiong Hiew King,1.4,Malaysia,2000,
"Wada, Shigefumi",1.4,Japan,2000,
"Del Pino, Rafael and family",1.3,Spain,2000,
"Escarrer, Gabriel",1.3,Spain,2000,
"Hector, Hans Werner",1.3,Germany,2000,
"Ikemori, Kenji",1.3,Japan,2000,
"Mannix, Ron",1.3,Canada,2000,
"McCain, Wallace",1.3,Canada,2000,
"Raju, B.Ramalinga",1.3,India,2000,
"Schmidt, Karl Gerhard",1.3,Germany,2000,
"Sy, Henry",1.3,Philippines,2000,
"Andre, Henri and Eric",1.2,Switzerland,2000,
"Bailleres, Alberto and family",1.2,Mexico,2000,
"Bozano, Julio",1.2,Brazil,2000,
"Chearavanont, Dhanin",1.2,Thailand,2000,
"de Noble, Ernestina Herrera",1.2,Argentina,2000,
"Fukushima, Yasuhiro",1.2,Japan,2000,
Haindl family,1.2,Germany,2000,
"Kozuki, Kagemasa",1.2,Japan,2000,
"Luksic And Family, Andronico",1.2,Chile,2000,
"Noda, Masahiro",1.2,Japan,2000,
"Romo Garza, Alfonso",1.2,Mexico,2000,
"Sato, Kenichiro",1.2,Japan,2000,
"Sirois, Charles",1.2,Canada,2000,
Stroeher family,1.2,Germany,2000,
"Takenaka, Toichi",1.2,Japan,2000,
"Yeoh, Francis",1.2,Malaysia,2000,
"Angelini, Anacleto",1.1,Chile,2000,
"Asper, Israel",1.1,Canada,2000,
Freudenberg family,1.1,Germany,2000,
"Kimura, Kenji",1.1,Japan,2000,
"Larrea Mota-Velasco, German",1.1,Mexico,2000,
Lee family,1.1,Singapore,2000,
Liselott Tham,1.1,Sweden,2000,
"McCain, Harrison",1.1,Canada,2000,
"Peralta, Carlos",1.1,Mexico,2000,
"Santo Domingo, Julio Mario",1.1,Colombia,2000,
Wee Cho Yaw,1.1,Singapore,2000,
"Aramburuzabala, Maria Asuncion and family",1,Mexico,2000,
"Cutrale, Jose and family",1,Brazil,2000,
Hinduja family,1,India,2000,
"Katayama, Takao",1,Japan,2000,
"Knauf, Baldwin and Nikolaus",1,Germany,2000,
"Koplowitz, Alicia",1,Spain,2000,
"Lewis, Joseph",1,UK,2000,
Liem Sioe Liong,1,Indonesia,2000,
"Merckle, Adolf and family",1,Germany,2000,
"Miller, Robert",1,UK,2000,
"Oshima, Kenshin",1,Japan,2000,
"Rocca, Roberto and family",1,Argentina,2000,
Simon family,1,Germany,2000,
Tan Yu,1,Philippines,2000,
"Thyssen-Bornemisza, Georg (""Heini Jr."")",1,Switzerland,2000,
"Vidigal, Gaston",1,Brazil,2000,
"Yamaguchi, Hisakazu",1,Japan,2000,
"Yung, Larry",1,Hong Kong,2000,
