"","year","list","name","last_name","net_worth_change.millions","age","source","industry","gender","country","timestamp","net_worth.realtime.millions","real_time.rank","real_time.position","squareImage","headquarters","state","title.company","position","rank","net_worth.millions","is.government","pay.millions","assets_under_management.millions","salary.millions","url.bio.forbes","url.image"
"11",2014,"Billionaires","Liliane Bettencourt","Bettencourt",NA,95,"L'Oreal","Fashion & Retail","F","France",2017-04-03 20:25:30,NA,NA,NA,"//specials-images.forbesimg.com/imageserve/58a1bdd131358e1a35ab3fc5/416x416.jpg?background=000000&cropX1=66&cropX2=713&cropY1=93&cropY2=741",NA,NA,NA,11,11,34500,FALSE,NA,NA,NA,"http://www.forbes.com/profile/liliane-bettencourt","http://i.forbesimg.com/media/lists/people/liliane-bettencourt_200x200.jpg"
"12",2014,"Billionaires","Stefan Persson","Persson",70.035,70,"H&M","Fashion & Retail","M","Sweden",2018-02-13 23:10:01,17004.283,76,76,"//specials-images.forbesimg.com/imageserve/58a28a5a4bbe6f0e5586bc2a/416x416.jpg?background=000000&cropX1=0&cropX2=652&cropY1=121&cropY2=774",NA,NA,"Chairman, H&#38;M",12,12,34400,FALSE,NA,NA,NA,"http://www.forbes.com/profile/stefan-persson","http://i.forbesimg.com/media/lists/people/stefan-persson_200x200.jpg"
"13",2014,"Billionaires","Alice Walton","Walton",554.245,68,"Wal-Mart","Fashion and Retail","F","United States",2018-02-13 23:10:01,46652.232,17,17,"//specials-images.forbesimg.com/imageserve/59d50b364bbe6f37dd9ff759/416x416.jpg?background=000000&cropX1=97&cropX2=1126&cropY1=114&cropY2=1143","TX","Texas","Chairman, Crystal Bridges Museum of American Art",13,13,34300,FALSE,NA,NA,NA,"http://www.forbes.com/profile/alice-walton","http://i.forbesimg.com/media/lists/people/alice-walton_200x200.jpg"
"14",2014,"Billionaires","S. Robson Walton","Walton",550.8,74,"Wal-Mart","Fashion and Retail","M","United States",2018-02-13 23:10:01,46703.157,16,16,"//specials-images.forbesimg.com/imageserve/59d50a9e4bbe6f37dd9ff712/416x416.jpg?background=000000&cropX1=207&cropX2=1915&cropY1=82&cropY2=1791","AR","Arkansas","Chairman, Wal-Mart Stores",14,14,34200,FALSE,NA,NA,NA,"http://www.forbes.com/profile/s-robson-walton","http://i.forbesimg.com/media/lists/people/s-robson-walton_200x200.jpg"
"15",2014,"Billionaires","Bernard Arnault","Arnault",-1059.164,68,"LVMH","Fashion & Retail","M","France",2018-02-13 23:10:01,72935.673,4,4,"//specials-images.forbesimg.com/imageserve/58a1148831358e1a35ab3b5c/416x416.jpg?background=000000&cropX1=678&cropX2=1789&cropY1=96&cropY2=1207",NA,NA,"Chairman and CEO, LVMH Moet Hennessy Louis Vuitton",15,15,33500,FALSE,NA,NA,NA,"http://www.forbes.com/profile/bernard-arnault","http://i.forbesimg.com/media/lists/people/bernard-arnault_200x200.jpg"
"16",2014,"Billionaires","Michael Bloomberg","Bloomberg",0,75,"Bloomberg LP","Finance","M","United States",2018-02-13 23:10:01,51570.898,11,11,"//specials-images.forbesimg.com/imageserve/58c1d278a7ea431f321add1f/416x416.jpg?background=000000&cropX1=0&cropX2=744&cropY1=40&cropY2=784","NY","New York","Mayor, New York City, United States",16,16,33000,TRUE,NA,NA,NA,"http://www.forbes.com/profile/michael-bloomberg","http://i.forbesimg.com/media/lists/people/michael-bloomberg_200x200.jpg"
"17",2014,"Billionaires","Larry Page","Page",-5.199,44,"Google","Technology","M","United States",2018-02-13 23:10:01,49236.029,12,12,"//specials-images.forbesimg.com/imageserve/59d5098d4bbe6f37dd9ff6bc/416x416.jpg?background=000000&cropX1=1176&cropX2=2904&cropY1=222&cropY2=1950","CA","California","CEO, Google",17,17,32300,FALSE,NA,NA,NA,"http://www.forbes.com/profile/larry-page","http://i.forbesimg.com/media/lists/people/larry-page_200x200.jpg"
"18",2014,"Billionaires","Jeff Bezos","Bezos",2231.094,54,"Amazon.com","Technology","M","United States",2018-02-13 23:10:01,117549.937,1,1,"//specials-images.forbesimg.com/imageserve/59d503be31358e542c034e90/416x416.jpg?background=000000&cropX1=9&cropX2=2203&cropY1=73&cropY2=2267","WA","Washington","CEO, Amazon.com",18,18,32000,FALSE,NA,NA,NA,"http://www.forbes.com/profile/jeff-bezos","http://i.forbesimg.com/media/lists/people/jeff-bezos_200x200.jpg"
"19",2014,"Billionaires","Sergey Brin","Brin",-5.005,44,"Google","Technology","M","United States",2018-02-13 23:10:01,47880.496,13,13,"//specials-images.forbesimg.com/imageserve/59d50a0ca7ea436b47b36d2d/416x416.jpg?background=000000&cropX1=655&cropX2=3090&cropY1=5&cropY2=2439","CA","California","Cofounder, Director Of Special Projects, Google",19,19,31800,FALSE,NA,NA,NA,"http://www.forbes.com/profile/sergey-brin","http://i.forbesimg.com/media/lists/people/sergey-brin_200x200.jpg"
"20",2014,"Billionaires","Li Ka-shing","Li",90.364,89,"diversified","Diversified","M","Hong Kong",2018-02-13 23:10:01,34711.957,22,22,"//specials-images.forbesimg.com/imageserve/5a579aad31358e4955aa7d68/416x416.jpg?background=000000&cropX1=903&cropX2=3280&cropY1=109&cropY2=2485",NA,NA,"Chairman, CK Hutchison Holdings",20,20,31000,FALSE,NA,NA,NA,"http://www.forbes.com/profile/li-ka-shing","http://i.forbesimg.com/media/lists/people/li-ka-shing_200x200.jpg"
"21",2014,"Billionaires","Mark Zuckerberg","Zuckerberg",-1290.731,33,"Facebook","Technology","M","United States",2018-02-13 23:10:01,69887.38,6,6,"//specials-images.forbesimg.com/imageserve/59d5062131358e542c034eb7/416x416.jpg?background=000000&cropX1=419&cropX2=1409&cropY1=53&cropY2=1044","CA","California","Cofounder, Chairman and CEO, Facebook",21,21,28500,FALSE,NA,NA,NA,"http://www.forbes.com/profile/mark-zuckerberg","http://i.forbesimg.com/media/lists/people/mark-zuckerberg_200x200.jpg"
"22",2014,"Billionaires","Michele Ferrero","Ferrero",NA,92,"chocolates","Food and Beverage","M","Italy",2015-03-18 19:15:34,NA,NA,NA,NA,NA,NA,NA,22,22,26500,FALSE,NA,NA,NA,"http://www.forbes.com/profile/michele-ferrero","http://i.forbesimg.com/media/lists/people/michele-ferrero_200x200.jpg"
"23",2014,"Billionaires","Karl Albrecht","Albrecht",NA,97,"retail","Fashion and Retail","M","Germany",2014-07-21 19:12:06,NA,NA,NA,NA,NA,NA,NA,23,23,25000,FALSE,NA,NA,NA,"http://www.forbes.com/profile/karl-albrecht","http://i.forbesimg.com/media/lists/people/no-pic_200x200.jpg"
"24",2014,"Billionaires","Aliko Dangote","Dangote",-552.9,60,"cement, sugar, flour","Manufacturing","M","Nigeria",2018-02-13 23:10:01,13685.954,108,108,"//specials-images.forbesimg.com/imageserve/589fd87131358e1a35ab2d17/416x416.jpg?background=000000&cropX1=209&cropX2=575&cropY1=121&cropY2=487",NA,NA,"CEO, Dangote Group",24,23,25000,FALSE,NA,NA,NA,"http://www.forbes.com/profile/aliko-dangote","http://i.forbesimg.com/media/lists/people/aliko-dangote_200x200.jpg"
"25",2014,"Billionaires","Carl Icahn","Icahn",-5.881,81,"investments","Investments","M","United States",2018-02-13 23:10:01,16801.978,78,78,"//specials-images.forbesimg.com/imageserve/57e5739ca7ea430a8a1a2b8f/416x416.jpg?background=000000&cropX1=74&cropX2=744&cropY1=74&cropY2=744","NY","New York","Founder, Icahn Capital Management",25,25,24500,FALSE,1700,NA,NA,"http://www.forbes.com/profile/carl-icahn","http://i.forbesimg.com/media/lists/people/carl-icahn_200x200.jpg"
"26",2014,"Billionaires","George Soros","Soros",0,87,"hedge funds","Investments","M","United States",2018-02-13 23:10:01,8000,204,204,"//specials-images.forbesimg.com/imageserve/59d50e1f4bbe6f37dd9ff7dd/416x416.jpg?background=000000&cropX1=931&cropX2=2948&cropY1=485&cropY2=2501","NY","New York","Founder, Soros Fund Management LLC",26,26,23000,FALSE,4000,NA,NA,"http://www.forbes.com/profile/george-soros","http://i.forbesimg.com/media/lists/people/george-soros_200x200.jpg"
"27",2014,"Billionaires","David Thomson","Thomson",-78.133,60,"media","Media & Entertainment","M","Canada",2018-02-13 23:10:01,25231.357,32,32,"//specials-images.forbesimg.com/imageserve/589cc9afa7ea431f3219243f/416x416.jpg?background=000000&cropX1=251&cropX2=702&cropY1=40&cropY2=491",NA,NA,"Chairman, Thomson Reuters",27,27,22600,FALSE,NA,NA,NA,"http://www.forbes.com/profile/david-thomson","http://i.forbesimg.com/media/lists/people/david-thomson_200x200.jpg"
"28",2014,"Billionaires","Lui Che Woo","Lui",688.047,88,"casinos","Gambling & Casinos","M","Hong Kong",2018-02-13 23:10:01,20532.938,50,50,"//specials-images.forbesimg.com/imageserve/5a579c874bbe6f2652f2513b/416x416.jpg?background=000000&cropX1=1306&cropX2=4434&cropY1=0&cropY2=3127",NA,NA,NA,28,28,22000,FALSE,NA,NA,NA,"http://www.forbes.com/profile/lui-che-woo","http://i.forbesimg.com/media/lists/people/lui-che-woo_200x200.jpg"
"29",2014,"Billionaires","Dieter Schwarz","Schwarz",0,78,"retail","Fashion & Retail","M","Germany",2018-02-13 23:10:01,20979.34,46,46,NA,NA,NA,NA,29,29,21100,FALSE,NA,NA,NA,"http://www.forbes.com/profile/dieter-schwarz","http://i.forbesimg.com/media/lists/people/no-pic_200x200.jpg"
"30",2014,"Billionaires","Prince Alwaleed Bin Talal Alsaud","Alsaud",34.774,62,"investments","Finance and Investments","M","Saudi Arabia",2018-02-13 23:10:01,17571.421,72,72,"//specials-images.forbesimg.com/imageserve/58a0795b4bbe6f0e55869730/416x416.jpg?background=000000&cropX1=167&cropX2=708&cropY1=19&cropY2=560",NA,NA,NA,30,30,20400,FALSE,NA,NA,NA,"http://www.forbes.com/profile/prince-alwaleed-bin-talal-alsaud","http://i.forbesimg.com/media/lists/people/prince-alwaleed-bin-talal-alsaud_200x200.jpg"
"31",2014,"Billionaires","Forrest Mars, Jr.","Mars",NA,86,"candy","Food and Beverage","M","United States",2014-03-13 20:32:24,NA,NA,NA,NA,"WY","Wyoming",NA,31,31,20000,FALSE,NA,NA,NA,"http://www.forbes.com/profile/forrest-mars-jr","http://i.forbesimg.com/media/lists/people/forrest-mars-jr_200x200.jpg"
"32",2014,"Billionaires","Jacqueline Mars","Mars",0,78,"candy","Food and Beverage","F","United States",2018-02-13 23:10:01,23729.234,34,34,"//specials-images.forbesimg.com/imageserve/59d50d06a7ea436b47b36d84/416x416.jpg?background=000000&cropX1=154&cropX2=1649&cropY1=394&cropY2=1889","VA","Virginia",NA,32,31,20000,FALSE,NA,NA,NA,"http://www.forbes.com/profile/jacqueline-mars","http://i.forbesimg.com/media/lists/people/jacqueline-mars_200x200.jpg"
"33",2014,"Billionaires","John Mars","Mars",0,81,"candy","Food and Beverage","M","United States",2018-02-13 23:10:01,23729.234,34,35,NA,"WY","Wyoming",NA,33,31,20000,FALSE,NA,NA,NA,"http://www.forbes.com/profile/john-mars","http://i.forbesimg.com/media/lists/people/no-pic_200x200.jpg"
"34",2014,"Billionaires","Jorge Paulo Lemann","Lemann",-610.949,78,"beer","Food and Beverage","M","Brazil",2018-02-13 23:10:01,27083.139,29,29,"//specials-images.forbesimg.com/imageserve/58a0f8a1a7ea431f32195c67/416x416.jpg?background=000000&cropX1=2&cropX2=617&cropY1=98&cropY2=714",NA,NA,NA,34,34,19700,FALSE,NA,NA,NA,"http://www.forbes.com/profile/jorge-paulo-lemann","http://i.forbesimg.com/media/lists/people/jorge-paulo-lemann_200x200.jpg"
"35",2014,"Billionaires","Lee Shau Kee","Lee",203.927,90,"diversified","Real Estate","M","Hong Kong",2018-02-13 23:10:01,30464.526,25,25,"//specials-images.forbesimg.com/imageserve/5a579beba7ea431690109b54/416x416.jpg?background=000000&cropX1=24&cropX2=1040&cropY1=66&cropY2=1082",NA,NA,NA,35,35,19600,FALSE,NA,NA,NA,"http://www.forbes.com/profile/lee-shau-kee","http://i.forbesimg.com/media/lists/people/lee-shau-kee_200x200.jpg"
"36",2014,"Billionaires","Theo Albrecht, Jr.","Albrecht",0,67,"Aldi, Trader Joe's","Fashion & Retail","M","Germany",2018-02-13 23:10:01,20496.967,52,52,NA,NA,NA,NA,36,36,19300,FALSE,NA,NA,NA,"http://www.forbes.com/profile/theo-albrecht-jr","http://i.forbesimg.com/media/lists/people/no-pic_200x200.jpg"
"37",2014,"Billionaires","Steve Ballmer","Ballmer",284.927,61,"Microsoft","Technology","M","United States",2018-02-13 23:10:01,39011.789,21,21,"//specials-images.forbesimg.com/imageserve/59d50c47a7ea436b47b36d66/416x416.jpg?background=000000&cropX1=656&cropX2=2920&cropY1=354&cropY2=2617","WA","Washington","CEO, Microsoft",37,36,19300,FALSE,NA,NA,NA,"http://www.forbes.com/profile/steve-ballmer","http://i.forbesimg.com/media/lists/people/steve-ballmer_200x200.jpg"
"38",2014,"Billionaires","Leonardo Del Vecchio","Del Vecchio",-263.81,82,"eyeglasses","Fashion & Retail","M","Italy",2018-02-13 23:10:01,21279.888,44,44,"//specials-images.forbesimg.com/imageserve/589f9937a7ea431f32194cce/416x416.jpg?background=000000&cropX1=37&cropX2=644&cropY1=34&cropY2=642",NA,NA,NA,38,38,19200,FALSE,NA,NA,NA,"http://www.forbes.com/profile/leonardo-del-vecchio","http://i.forbesimg.com/media/lists/people/leonardo-del-vecchio_200x200.jpg"
"39",2014,"Billionaires","Len Blavatnik","Blavatnik",29.838,60,"diversified","Energy","M","United States",2018-02-13 23:10:01,20405.7,53,53,"//specials-images.forbesimg.com/imageserve/59d50f2831358e542c034f95/416x416.jpg?background=000000&cropX1=963&cropX2=2028&cropY1=234&cropY2=1299",NA,NA,NA,39,39,18700,FALSE,NA,NA,NA,"http://www.forbes.com/profile/len-blavatnik","http://i.forbesimg.com/media/lists/people/len-blavatnik_200x200.jpg"
"40",2014,"Billionaires","Mukesh Ambani","Ambani",0,60,"petrochemicals, oil & gas","Energy","M","India",2018-02-13 23:10:01,40845.278,18,18,"//specials-images.forbesimg.com/imageserve/59cd4e8ba7ea434a34f47b68/416x416.jpg?background=000000&cropX1=66&cropX2=1263&cropY1=822&cropY2=2019",NA,NA,"Chairman, Reliance Industries",40,40,18600,FALSE,NA,NA,NA,"http://www.forbes.com/profile/mukesh-ambani","http://i.forbesimg.com/media/lists/people/mukesh-ambani_200x200.jpg"
"41",2014,"Billionaires","Alisher Usmanov","Usmanov",38.129,64,"steel & mining, telecom, investments","Metals & Mining","M","Russia",2018-02-13 23:10:01,12705.512,120,120,"//specials-images.forbesimg.com/imageserve/58a251ba31358e1a35ab5129/416x416.jpg?background=000000&cropX1=58&cropX2=655&cropY1=34&cropY2=632",NA,NA,"Founder, Metalloinvest",41,40,18600,FALSE,NA,NA,NA,"http://www.forbes.com/profile/alisher-usmanov","http://i.forbesimg.com/media/lists/people/alisher-usmanov_200x200.jpg"
"42",2014,"Billionaires","Phil Knight","Knight",-37.597,79,"Nike","Fashion and Retail","M","United States",2018-02-13 23:10:01,29774.262,27,27,"//specials-images.forbesimg.com/imageserve/59d50db3a7ea436b47b36d8f/416x416.jpg?background=000000&cropX1=1237&cropX2=3357&cropY1=380&cropY2=2499","OR","Oregon","Chairman, NIKE",42,42,18400,FALSE,NA,NA,NA,"http://www.forbes.com/profile/phil-knight","http://i.forbesimg.com/media/lists/people/phil-knight_200x200.jpg"
"43",2014,"Billionaires","Michael Otto","Otto",0,74,"retail, real estate","Fashion & Retail","M","Germany",2018-02-13 23:10:01,11012.261,142,142,"//specials-images.forbesimg.com/imageserve/58a1e10e4bbe6f0e5586aa0d/416x416.jpg?background=000000&cropX1=55&cropX2=744&cropY1=56&cropY2=746",NA,NA,NA,43,42,18400,FALSE,NA,NA,NA,"http://www.forbes.com/profile/michael-otto","http://i.forbesimg.com/media/lists/people/michael-otto_200x200.jpg"
"44",2014,"Billionaires","Masayoshi Son","Son",420.856,60,"internet, telecom","Telecom","M","Japan",2018-02-13 23:10:01,23196.179,38,38,"//specials-images.forbesimg.com/imageserve/58de6dcfa7ea437ada25c418/416x416.jpg?background=000000&cropX1=0&cropX2=744&cropY1=55&cropY2=799",NA,NA,"CEO, Softbank",44,42,18400,FALSE,NA,NA,NA,"http://www.forbes.com/profile/masayoshi-son","http://i.forbesimg.com/media/lists/people/masayoshi-son_200x200.jpg"
"45",2014,"Billionaires","Tadashi Yanai","Yanai",-205.525,69,"retail","Fashion & Retail","M","Japan",2018-02-13 23:10:01,19288.469,59,59,"//specials-images.forbesimg.com/imageserve/58de6e2b4bbe6f1aff454732/416x416.jpg?background=000000&cropX1=0&cropX2=744&cropY1=122&cropY2=866",NA,NA,NA,45,45,17900,FALSE,NA,NA,NA,"http://www.forbes.com/profile/tadashi-yanai","http://i.forbesimg.com/media/lists/people/tadashi-yanai_200x200.jpg"
"46",2014,"Billionaires","Gina Rinehart","Rinehart",-2.652,64,"mining","Metals & Mining","F","Australia",2018-02-13 23:10:01,17511.69,73,73,"//specials-images.forbesimg.com/imageserve/59f73f7831358e542c046b65/416x416.jpg?background=000000&cropX1=211&cropX2=1123&cropY1=82&cropY2=995",NA,NA,"Executive Chairman, Hancock Prospecting",46,46,17700,FALSE,NA,NA,NA,"http://www.forbes.com/profile/gina-rinehart","http://i.forbesimg.com/media/lists/people/gina-rinehart_200x200.jpg"
"47",2014,"Billionaires","Mikhail Fridman","Fridman",19.805,53,"oil, banking, telecom","Energy","M","Russia",2018-02-13 23:10:01,15350.135,95,95,"//specials-images.forbesimg.com/imageserve/58a266694bbe6f0e5586ba6b/416x416.jpg?background=000000&cropX1=0&cropX2=744&cropY1=269&cropY2=1013",NA,NA,NA,47,47,17600,FALSE,NA,NA,NA,"http://www.forbes.com/profile/mikhail-fridman","http://i.forbesimg.com/media/lists/people/mikhail-fridman_200x200.jpg"
"48",2014,"Billionaires","Michael Dell","Dell",-1.853,52,"Dell","Technology","M","United States",2018-02-13 23:10:01,22864.557,40,40,"//specials-images.forbesimg.com/imageserve/58c1d2e731358e1a35acba6b/416x416.jpg?background=000000&cropX1=0&cropX2=744&cropY1=163&cropY2=907","TX","Texas","Chairman and CEO, Dell",48,48,17500,FALSE,NA,NA,NA,"http://www.forbes.com/profile/michael-dell","http://i.forbesimg.com/media/lists/people/michael-dell_200x200.jpg"
"49",2014,"Billionaires","Susanne Klatten","Klatten",-94.07,55,"BMW, pharmaceuticals","Automotive","F","Germany",2018-02-13 23:10:01,25122.138,33,33,"//specials-images.forbesimg.com/imageserve/58a1e790a7ea431f32196773/416x416.jpg?background=000000&cropX1=35&cropX2=744&cropY1=200&cropY2=909",NA,NA,NA,49,49,17400,FALSE,NA,NA,NA,"http://www.forbes.com/profile/susanne-klatten","http://i.forbesimg.com/media/lists/people/susanne-klatten_200x200.jpg"
"50",2014,"Billionaires","Abigail Johnson","Johnson",0,56,"money management","Business","F","United States",2018-02-13 23:10:01,16058.518,89,89,"http://specials-images.forbesimg.com/imageserve/57e570c54bbe6f24d1f891b6/416x416.jpg?background=000000&cropX1=63&cropX2=615&cropY1=68&cropY2=621","MA","Massachusetts","President, Financial Services, Fidelity Investments",50,50,17300,FALSE,NA,NA,NA,"http://www.forbes.com/profile/abigail-johnson","http://i.forbesimg.com/media/lists/people/abigail-johnson_200x200.jpg"
"51",2014,"Billionaires","Viktor Vekselberg","Vekselberg",-27.909,60,"metals, energy","Energy","M","Russia",2018-02-13 23:10:01,14502.838,101,101,"//specials-images.forbesimg.com/imageserve/58a274b6a7ea431f32197528/416x416.jpg?background=000000&cropX1=85&cropX2=639&cropY1=79&cropY2=633",NA,NA,NA,51,51,17200,FALSE,NA,NA,NA,"http://www.forbes.com/profile/viktor-vekselberg","http://i.forbesimg.com/media/lists/people/viktor-vekselberg_200x200.jpg"
"52",2014,"Billionaires","Lakshmi Mittal","Mittal",238.163,67,"steel","Metals & Mining","M","India",2018-02-13 23:10:01,19027.323,62,62,"//specials-images.forbesimg.com/imageserve/59cbfbf5a7ea434a34f46a72/416x416.jpg?background=000000&cropX1=15&cropX2=2362&cropY1=10&cropY2=2359",NA,NA,"Chairman and CEO, ArcelorMittal (ADR)",52,52,16700,FALSE,NA,NA,NA,"http://www.forbes.com/profile/lakshmi-mittal","http://i.forbesimg.com/media/lists/people/lakshmi-mittal_200x200.jpg"
"53",2014,"Billionaires","Vladimir Lisin","Lisin",441.881,61,"steel, transport","Metals & Mining","M","Russia",2018-02-13 23:10:01,20054.694,56,56,"//specials-images.forbesimg.com/imageserve/28e19d9462ca98ee47b0ff581b35e87c/416x416.jpg?background=000000&cropX1=143&cropX2=621&cropY1=10&cropY2=489",NA,NA,NA,53,53,16600,FALSE,NA,NA,NA,"http://www.forbes.com/profile/vladimir-lisin","http://i.forbesimg.com/media/lists/people/vladimir-lisin_200x200.jpg"
"54",2014,"Billionaires","Cheng Yu-tung","Cheng",NA,92,"diversified","Real Estate","M","Hong Kong",2017-04-04 23:00:58,NA,NA,NA,NA,NA,NA,NA,54,54,16200,FALSE,NA,NA,NA,"http://www.forbes.com/profile/cheng-yu-tung","http://i.forbesimg.com/media/lists/people/cheng-yu-tung_200x200.jpg"
"55",2014,"Billionaires","Joseph Safra","Safra",0,79,"banking","Finance and Investments","M","Brazil",2018-02-13 23:10:01,23277.616,36,36,"http://specials-images.forbesimg.com/imageserve/5722763231358e1869e2bbc0/416x416.jpg?background=000000&cropX1=161&cropX2=647&cropY1=16&cropY2=502",NA,NA,NA,55,55,16000,FALSE,NA,NA,NA,"http://www.forbes.com/profile/joseph-safra","http://i.forbesimg.com/media/lists/people/joseph-safra_200x200.jpg"
"56",2014,"Billionaires","Paul Allen","Allen",1.578,65,"Microsoft, investments","Technology","M","United States",2018-02-13 23:10:01,21728.309,43,43,"http://specials-images.forbesimg.com/imageserve/57f4fbeb4bbe6f75c4fda22d/416x416.jpg?background=000000&cropX1=82&cropX2=675&cropY1=8&cropY2=601","WA","Washington",NA,56,56,15900,FALSE,NA,NA,NA,"http://www.forbes.com/profile/paul-allen","http://i.forbesimg.com/media/lists/people/paul-allen_200x200.jpg"
"57",2014,"Billionaires","Leonid Mikhelson","Mikhelson",14.254,62,"gas, chemicals","Energy","M","Russia",2018-02-13 23:10:01,18119.094,66,66,"//specials-images.forbesimg.com/imageserve/58a2652331358e1a35ab51df/416x416.jpg?background=000000&cropX1=163&cropX2=504&cropY1=37&cropY2=379",NA,NA,NA,57,57,15600,FALSE,NA,NA,NA,"http://www.forbes.com/profile/leonid-mikhelson","http://i.forbesimg.com/media/lists/people/leonid-mikhelson_200x200.jpg"
