name,age,wealth,country,residence,year
Gregorio Perez Companc & family,70,1.7,Argentina,"Argentina , Buenos Aires",2005
Stefano Pessina,63,1.7,Italy,"Monaco , Monte Carlo",2005
Didier Primat,60,1.7,France,"France , Paris",2005
Thomas Pritzker,54,1.7,United States,"United States , IL , Chicago",2005
Shin Kyuk-Ho & family,82,1.7,South Korea,"South Korea , Seoul",2005
John Sperling,84,1.7,United States,"United States , AZ , Phoenix",2005
Peter Sperling,45,1.7,United States,"United States , AZ , Phoenix",2005
Pat Stryker,48,1.7,United States,"United States , CO , Fort Collins",2005
Lucio Tan,70,1.7,Philippines,"Philippines , Manila",2005
John Whittaker,63,1.7,United Kingdom,"United Kingdom , Isle of Man",2005
Julio Bozano,69,1.6,Brazil,"Brazil , Rio de Janeiro",2005
Heinz-Horst Deichmann,78,1.6,Germany,"Germany , Essen",2005
Bennett Dorrance,56,1.6,United States,"United States , AZ , Paradise Valley",2005
Sidney Frank,85,1.6,United States,"United States , NY , New Rochelle",2005
Donald Gordon,74,1.6,South Africa,"United Kingdom , London",2005
Donald Hall,76,1.6,United States,"United States , KS , Mission Hills",2005
Alfredo Harp Helu,61,1.6,Mexico,"Mexico , Mexico City",2005
Hans-Werner Hector,65,1.6,Germany,"Germany , Weinheim",2005
Irwin Jacobs,71,1.6,United States,"United States , CA , La Jolla",2005
Manuel Jove,63,1.6,Spain,"Spain , La Coruna",2005
Daryl Katz,43,1.6,Canada,"Canada , Edmonton",2005
Michael Krasny,51,1.6,United States,"United States , IL , Highland Park",2005
Alexei Kuzmichov,42,1.6,Russia,Russia,2005
Alexander Lebedev,45,1.6,Russia,Russia,2005
Joseph Lewis,68,1.6,United Kingdom,"Bahamas , Lyford Cay",2005
Iskander Makhmudov,42,1.6,Russia,Russia,2005
John Marriott Jr,73,1.6,United States,"United States , MD , Potomac",2005
E Marshall,66,1.6,United States,"United States , TX , Dallas",2005
Penny Pritzker,45,1.6,United States,"United States , IL , Chicago",2005
Larry Rong Zhijian,63,1.6,China,"China , Shanghai",2005
Henry Samueli,50,1.6,United States,"United States , CA , Newport Beach",2005
Ollen Smith,78,1.6,United States,"United States , NC , Charlotte",2005
Arthur Williams Jr,62,1.6,United States,"United States , FL , Palm Beach",2005
Mortimer Zuckerman,67,1.6,United States,"United States , NY , New York",2005
Sid Bass,62,1.5,United States,"United States , TX , Fort Worth",2005
Peter Buck,74,1.5,United States,"United States , CT , Danbury",2005
James Cargill,80,1.5,United States,"United States , MN , Minneapolis",2005
Margaret Cargill,85,1.5,United States,"United States , CA , La Jolla",2005
Chung Mong-Koo,67,1.5,South Korea,South Korea,2005
Fred DeLuca,57,1.5,United States,"United States , FL , Fort Lauderdale",2005
Ray Dolby,71,1.5,United States,"United States , CA , San Francisco",2005
Gustaf Douglas,67,1.5,Sweden,"Sweden , Stockholm",2005
Archie Aldis (Red) Emmerson,75,1.5,United States,"United States , CA , Redding",2005
Richard Farmer,70,1.5,United States,"United States , OH , Cincinnati",2005
Gerald Ford,60,1.5,United States,"United States , TX , Dallas",2005
Soichiro Fukutake & family,59,1.5,Japan,"Japan , Okayama",2005
Charles Gates Jr,83,1.5,United States,"United States , CO , Denver",2005
Leslie Gonda,84,1.5,United States,"United States , CA , Beverly Hills",2005
Naresh Goyal,55,1.5,India,"United Kingdom , London",2005
Jonathan Harmsworth,37,1.5,United Kingdom,"United Kingdom , London",2005
Vladimir Iorich,46,1.5,Russia,"Russia , Moscow",2005
H Fisk Johnson,46,1.5,United States,"United States , WI , Racine",2005
Imogene Powers Johnson,75,1.5,United States,"United States , WI , Racine",2005
Helen Johnson-Leipold,48,1.5,United States,"United States , WI , Racine",2005
Winnie Johnson-Marquart,45,1.5,United States,"United States , VA , Virginia Beach",2005
S Curtis Johnson,49,1.5,United States,"United States , WI , Racine",2005
Henry Kravis,61,1.5,United States,"United States , NY , New York",2005
Robert McNair,67,1.5,United States,"United States , TX , Houston",2005
George Mitchell,85,1.5,United States,"United States , TX , Houston",2005
Jorgen Philip-Sorensen,66,1.5,Sweden,"United Kingdom , Broadway",2005
Anthony Pritzker,44,1.5,United States,"United States , CA , Los Angeles",2005
Daniel Pritzker,46,1.5,United States,"United States , CA , Marin County",2005
James Pritzker,53,1.5,United States,"United States , IL , Chicago",2005
Jay Robert (JB) Pritzker,40,1.5,United States,"United States , IL , Evanston",2005
Jean (Gigi) Pritzker,43,1.5,United States,"United States , IL , Chicago",2005
John Pritzker,52,1.5,United States,"United States , CA , San Francisco",2005
Karen Pritzker,47,1.5,United States,"United States , CT , New Haven",2005
Linda Pritzker,51,1.5,United States,"United States , MT , St Ignatius",2005
William Pulte,72,1.5,United States,"United States , MI , Detroit",2005
Ernest Rady,67,1.5,United States,"United States , CA , San Diego",2005
J Ricketts & family,63,1.5,United States,"United States , NE , Omaha",2005
George Roberts,60,1.5,United States,"United States , CA , Los Angeles",2005
John Sall,55,1.5,United States,"United States , NC , Cary",2005
Dilip Shanghvi,49,1.5,India,"India , Mumbai",2005
John Sobrato,65,1.5,United States,"United States , CA , Atherton",2005
Jackson Stephens & family,81,1.5,United States,"United States , AR , Little Rock",2005
Albert Ueltschi,87,1.5,United States,"United States , TX , Irving",2005
Sanford Weill,72,1.5,United States,"United States , NY , New York",2005
Margaret Whitman,48,1.5,United States,"United States , CA , Palo Alto",2005
Wong Kwong Yu,35,1.5,China,"China , Beijing",2005
Daniel Ziff,33,1.5,United States,"United States , NY , New York",2005
Dirk Ziff,40,1.5,United States,"United States , NY , New York",2005
Robert Ziff,38,1.5,United States,"United States , NY , New York",2005
Jaime Zobel de Ayala & family,70,1.5,Philippines,"Philippines , Manila",2005
Igor Zyuzin,44,1.5,Russia,"Russia , Moscow",2005
Anil Agarwal,51,1.4,India,"United Kingdom , London",2005
Frank Batten Sr,78,1.4,United States,"United States , VA , Virginia Beach",2005
Nancy Lerner Beck,44,1.4,United States,"United States , OH , Cleveland",2005
Bjorgolfur Thor Bjorgolfsson,38,1.4,Iceland,"United Kingdom , London",2005
Arthur Blank,62,1.4,United States,"United States , GA , Atlanta",2005
Edward Debartolo Jr,58,1.4,United States,"United States , FL , Tampa",2005
Barbara Carlson Gage & family,63,1.4,United States,"United States , MN , Minneapolis",2005
Marguerite Harbert,81,1.4,United States,"United States , AL , Birmingham",2005
Alicia Koplowitz,52,1.4,Spain,"Spain , Madrid",2005
Norma Lerner,69,1.4,United States,"United States , OH , Cleveland",2005
Randolph Lerner,42,1.4,United States,"United States , OH , Cleveland",2005
George Lindemann & family,69,1.4,United States,"United States , FL , Palm Beach",2005
Alfred Mann,79,1.4,United States,"United States , CA , Los Angeles",2005
James Moran,86,1.4,United States,"United States , FL , Deerfield Beach",2005
Marilyn Carlson Nelson & family,66,1.4,United States,"United States , MN , Minneapolis",2005
Kenshin Oshima,57,1.4,Japan,"Japan , Tokyo",2005
Paul Raymond,80,1.4,United Kingdom,"United Kingdom , London",2005
Alexander Shnaider,36,1.4,Canada,"Canada , Toronto",2005
Theodore Waitt,42,1.4,United States,"United States , CA , San Diego",2005
Elena Baturina,42,1.3,Russia,"Russia , Moscow",2005
Pierre Bellon & family,75,1.3,France,"France , Paris",2005
William Boyd,73,1.3,United States,"United States , NV , Las Vegas",2005
Chang Yung Fa,78,1.3,Taiwan,"Taiwan , Taipei",2005
Mark Cuban,47,1.3,United States,"United States , TX , Dallas",2005
Barry Diller,63,1.3,United States,"United States , NY , New York",2005
Abilio dos Santos Diniz & family,68,1.3,Brazil,"Brazil , Sao Paulo",2005
David Duffield,64,1.3,United States,"United States , NV , Incline Village",2005
Gabriel Escarrer,70,1.3,Spain,"Spain , Palma de Majorca",2005
Donald Fisher,76,1.3,United States,"United States , CA , San Francisco",2005
Doris Fisher,73,1.3,United States,"United States , CA , San Francisco",2005
James France,60,1.3,United States,"United States , FL , Daytona Beach",2005
William France Jr,72,1.3,United States,"United States , FL , Daytona Beach",2005
John Gandel & family,70,1.3,Australia,"Australia , Melbourne",2005
Christopher Goldsbury,62,1.3,United States,"United States , TX , San Antonio",2005
Alec Gores,52,1.3,United States,"United States , CA , Beverly Hills",2005
John Hargreaves & family,61,1.3,United Kingdom,"United Kingdom , Lancashire County",2005
Robert Holding,78,1.3,United States,"United States , UT , Salt Lake City",2005
Joseph Jamail Jr,79,1.3,United States,"United States , TX , Houston",2005
James Jannard,55,1.3,United States,"United States , WA , San Juan Islands",2005
Stephen Jarislowsky,79,1.3,Canada,"Canada , Montreal",2005
Min Kao,56,1.3,United States,"United States , KS , Mission Hills",2005
Barry Lam,55,1.3,Taiwan,Taiwan,2005
Vincent Lo,--,1.3,Hong Kong,"Hong Kong , Hong Kong",2005
Robert McLane Jr,68,1.3,United States,"United States , TX , Temple",2005
John Morgridge,71,1.3,United States,"United States , CA , Portola Valley",2005
Hideo Morita & family,53,1.3,Japan,"Japan , Tokyo",2005
Robert Naify,83,1.3,United States,"United States , CA , San Francisco",2005
Liselott Persson,--,1.3,Sweden,"Sweden , Stockholm",2005
Victor Pinchuk,44,1.3,Ukraine,"Ukraine , Dniepropetrovsk",2005
Hans Riegel,82,1.3,Germany,"Germany , Bonn",2005
Paul Riegel,78,1.3,Germany,"Germany , Bonn",2005
Phillip Ruffin,69,1.3,United States,"United States , KS , Wichita",2005
Eduard Shifrin,44,1.3,United Kingdom,"United Kingdom , London",2005
Thomas Siebel,52,1.3,United States,"United States , CA , San Mateo",2005
Harry Triguboff,72,1.3,Australia,"Australia , Sydney",2005
Peter Unger,60,1.3,Germany,"Germany , Weiden",2005
Joop van den Ende,63,1.3,Netherlands,Netherlands,2005
Dean White,81,1.3,United States,"United States , IN , Crown Point",2005
Arne Wilhelmsen & family,74,1.3,Norway,"Norway , Oslo",2005
Oprah Winfrey,51,1.3,United States,"United States , IL , Chicago",2005
Mohamed Al-Bahar & family,--,1.2,Kuwait,Kuwait,2005
Khalaf Al Habtoor,--,1.2,United Arab Emirates,"United Arab Emirates , Dubai",2005
George Argyros,68,1.2,United States,"United States , CA , Newport Beach",2005
Edward Bass,60,1.2,United States,"United States , TX , Fort Worth",2005
Carl Berg,67,1.2,United States,"United States , CA , Atherton",2005
William Connor II,55,1.2,United States,"Hong Kong , Hong Kong",2005
David Copley,53,1.2,United States,"United States , CA , La Jolla",2005
Lloyd Dorfman,52,1.2,United Kingdom,"United Kingdom , London",2005
Bulent Eczacibasi,55,1.2,Turkey,"Turkey , Istanbul",2005
William Fisher,47,1.2,United States,"United States , CA , San Francisco",2005
Thomas Flatley,72,1.2,United States,"United States , MA , Milton",2005
Victor Fung,60,1.2,United States,"Hong Kong , Hong Kong",2005
William Fung,57,1.2,Hong Kong,"Hong Kong , Hong Kong",2005
Alan Gerry,75,1.2,United States,"United States , NY , Liberty",2005
David Green,64,1.2,United States,"United States , OK , Oklahoma City",2005
Saad Hariri,33,1.2,Saudi Arabia,"Saudi Arabia , Riyadh",2005
Stanley Stub Hubbard,71,1.2,United States,"United States , MN , St Mary's Point",2005
Thomas Hunter,43,1.2,United Kingdom,"Scotland , Troon",2005
Om Jindal,74,1.2,India,"India , Delhi",2005
Guy Laliberte,45,1.2,Canada,"Canada , Montreal",2005
Kenneth Langone,69,1.2,United States,"United States , NY , Sands Point",2005
Thomas Lee,60,1.2,United States,"United States , NY , New York",2005
Kenichi Mabuchi & family,82,1.2,Japan,"Japan , Matsudo",2005
Maggie Magerko,39,1.2,United States,"United States , PA , Eightyfour",2005
Billy Joe (Red) McCombs,77,1.2,United States,"United States , TX , San Antonio",2005
Andrei Melnichenko,33,1.2,Russia,"Russia , Moscow",2005
Sergei Popov,33,1.2,Russia,"Russia , Moscow",2005
Sean Quinn,58,1.2,Ireland,"Ireland , Fermanagh",2005
Winthrop Rockefeller,56,1.2,United States,"United States , AR , Morrilton",2005
Isaac Saba Raffoul & family,81,1.2,Mexico,"Mexico , Mexico City",2005
Richard Scaife,72,1.2,United States,"United States , PA , Pittsburgh",2005
Walter Scott Jr,73,1.2,United States,"United States , NE , Omaha",2005
Marcel Telles,55,1.2,Brazil,"Brazil , Sao Paulo",2005
Olav Thon,81,1.2,Norway,"Norway , Oslo",2005
Martin Viessmann,51,1.2,Germany,"Germany , Allendorf",2005
Elizabeth Wiskemann,--,1.2,United States,"United States , CA , San Rafael",2005
Anneliese Brost,84,1.1,Germany,"Germany , Essen",2005
John Brown,70,1.1,United States,"United States , MI , Kalamazoo",2005
Robert Day,60,1.1,United States,"United States , CA , Los Angeles",2005
Roy Disney,75,1.1,United States,"United States , CA , Los Angeles",2005
Richard Egan,69,1.1,United States,"United States , MA , Hopkinton",2005
Robert Friedland,54,1.1,United States,"Singapore , Singapore",2005
Thomas Frist Jr & family,66,1.1,United States,"United States , TN , Nashville",2005
Malcolm Glazer,77,1.1,United States,"United States , FL , Palm Beach",2005
Blase Golisano,63,1.1,United States,"United States , NY , Rochester",2005
David Gottesman,78,1.1,United States,"United States , NY , Rye",2005
Pincus Green,69,1.1,United States,"Switzerland , Meggan",2005
Albert Gubay,79,1.1,United Kingdom,"United Kingdom , Isle of Man",2005
Han Chang-Woo,74,1.1,Japan,"Japan , Kyoto",2005
Marvin Herb,68,1.1,United States,"United States , IL , Chicago",2005
George Joseph,83,1.1,United States,"United States , CA , Los Angeles",2005
William Kellogg,61,1.1,United States,"United States , WI , Oconomowoc",2005
Richard Li,38,1.1,Hong Kong,"Hong Kong , Hong Kong",2005
L Lowry Mays,69,1.1,United States,"United States , TX , San Antonio",2005
Kenneth Morrison,73,1.1,United Kingdom,"United Kingdom , Bradford",2005
Anthony O'Reilly,68,1.1,Ireland,"Ireland , Dublin",2005
Bernard Osher,77,1.1,United States,"United States , CA , San Francisco",2005
Nelson Peltz,62,1.1,United States,"United States , NY , Bedford",2005
Michael Price,52,1.1,United States,"United States , NJ , Far Hills",2005
Nicholas Pritzker II,61,1.1,United States,"United States , IL , Chicago",2005
Marc Rich,70,1.1,United States,"Switzerland , Meggan",2005
Jesse Robinson,81,1.1,United States,"United States , GA , Atlanta",2005
Edward Roski Jr,66,1.1,United States,"United States , CA , Los Angeles",2005
Erol Sabanci,67,1.1,Turkey,"Turkey , Istanbul",2005
Sevket Sabanci,69,1.1,Turkey,"Turkey , Istanbul",2005
Herbert Sandler,73,1.1,United States,"United States , CA , San Francisco",2005
Marion Sandler,74,1.1,United States,"United States , CA , San Francisco",2005
Herbert Siegel,77,1.1,United States,"United States , NY , New York",2005
Alexander Spanos,81,1.1,United States,"United States , CA , Stockton",2005
Joyce Raley Teel,74,1.1,United States,"United States , CA , Sacramento",2005
Kenny Troutt,57,1.1,United States,"United States , TX , Dallas",2005
Charlotte Colket Weber,62,1.1,United States,"United States , FL , Ocala",2005
John Anderson,87,1,United States,"United States , CA , Bel Air",2005
Edmund Ansin,69,1,United States,"United States , FL , Miami Beach",2005
John Arrillaga,67,1,United States,"United States , CA , Palo Alto",2005
Nadhmi Auchi,--,1,United Kingdom,"United Kingdom , London",2005
Emilio Azcarraga Jean,37,1,Mexico,"Mexico , Mexico City",2005
Thomas Bailey,68,1,United States,"United States , CO , Aspen",2005
Perry Bass,90,1,United States,"United States , TX , Fort Worth",2005
Neil Bluhm,67,1,United States,"United States , IL , Chicago",2005
Amar Bose,76,1,United States,"United States , MA , Framingham",2005
Thomas Bruch,54,1,Germany,"Germany , St Wendel",2005
John Caudwell,52,1,United Kingdom,"United Kingdom , Stoke-on-Trent",2005
Harvey Chaplin & family,76,1,United States,"United States , FL , Miami",2005
Patokh Chodiev,51,1,Kazakhstan,"Kazakhstan , Almaty",2005
Gary Comer,77,1,United States,"United States , IL , Chicago",2005
Scott Cook,52,1,United States,"United States , CA , Woodside",2005
Aydin Dogan,--,1,Turkey,"Turkey , Istanbul",2005
John Edson,72,1,United States,"United States , WA , Seattle",2005
Paul Fireman,61,1,United States,"United States , MA , Newton",2005
J Flowers,47,1,United States,"United States , NY , New York",2005
William Ford Sr,80,1,United States,"United States , MI , Grosse Pointe Shores",2005
William Gross,60,1,United States,"United States , CA , Newport Beach",2005
Dorrance Hamilton,76,1,United States,"United States , PA , Wayne",2005
Ingeburg Herz,--,1,Germany,"Germany , Hamburg",2005
William Barron Hilton,77,1,United States,"United States , CA , Los Angeles",2005
Dietmar Hopp,64,1,Germany,"Germany , Waldorf",2005
Alijan Ibragimov,51,1,Kazakhstan,"Kazakhstan , Almaty",2005
Jeremy Jacobs Sr,65,1,United States,"United States , NY , East Aurora",2005
Jerral Jones,62,1,United States,"United States , TX , Dallas",2005
Paul Jones II,51,1,United States,"United States , CT , Greenwich",2005
Morris Kahn,75,1,Israel,Israel,2005
Jeffrey Katzenberg,54,1,United States,"United States , CA , Beverly Hills",2005
Nasser Khalili,59,1,United Kingdom,"United Kingdom , London",2005
James Kim & family,69,1,United States,"United States , PA , Bryn Mawr",2005
Jerome Kohlberg Jr,79,1,United States,"United States , NY , Mt Kisco",2005
Jan Kulczyk,55,1,Poland,"Poland , Poznan",2005
Leon Levine & family,67,1,United States,"United States , NC , Charlotte",2005
Gary Magness,51,1,United States,"United States , CO , Cherry Hills",2005
Richard Manoogian,68,1,United States,"United States , MI , Grosse Pointe Farms",2005
Steno Marcegaglia & family,74,1,Italy,"Italy , Mantova",2005
Anne Windfohr Marion,65,1,United States,"United States , TX , Fort Worth",2005
Alexander Mashkevich,50,1,Kazakhstan,"Kazakhstan , Almaty",2005
Terence (Terry) Matthews,61,1,United Kingdom,"Canada , Ottawa",2005
Alain Merieux & family,67,1,France,"France , Lyon",2005
Arnon Milchan,60,1,Israel,"Israel , Tel Aviv",2005
Michael Milken,58,1,United States,"United States , CA , Los Angeles",2005
William Morean,49,1,United States,"United States , FL , St Petersburg",2005
Axel Oberwelland,38,1,Germany,"Germany , Berlin",2005
Klaus Oberwelland,66,1,Germany,"Germany , Berlin",2005
Husnu Ozyegin,60,1,Turkey,"Turkey , Izmir",2005
Richard Peery,64,1,United States,"United States , CA , Palo Alto",2005
Stewart Rahr,59,1,United States,"United States , NY , New York",2005
Arthur Rock,78,1,United States,"United States , CA , San Francisco",2005
Wilbur Ross Jr,67,1,United States,"United States , NY , New York",2005
Joanne (JK) Rowling,39,1,United Kingdom,"Scotland , Edinburgh",2005
Lily Safra,67,1,Monaco,Monaco,2005
Monika Schoeller,66,1,Germany,"Germany , Stuttgart",2005
Wen Long Shi & family,77,1,Taiwan,"Taiwan , Tainan",2005
Carlos Sicupira,57,1,Brazil,"Brazil , Sao Paulo",2005
Charles Simonyi,57,1,United States,"United States , WA , Medina",2005
Zygmunt Solorz-Zak,48,1,Poland,"Poland , Warsaw",2005
Martha Stewart,63,1,United States,"United States , CT , Westport",2005
Kerry Stokes,63,1,Australia,"Australia , Perth",2005
Serhiy Taruta,50,1,Ukraine,"Ukraine , Donetsk",2005
A Alfred Taubman,80,1,United States,"United States , MI , Bloomfield Hills",2005
Tiong Hiew King,69,1,Malaysia,"Malaysia , Sibu",2005
Hope Hill Van Beuren,71,1,United States,"United States , RI , Middletown",2005
Andreas von Bechtolsheim,49,1,United States,"United States , CA , Palo Alto",2005
Dieter von Holtzbrinck,63,1,Germany,"Germany , Stuttgart",2005
Stefan von Holtzbrinck,41,1,Germany,"Germany , Stuttgart",2005
Todd Wagner,44,1,United States,"United States , TX , Dallas",2005
Samuel Wyly,69,1,United States,"United States , TX , Dallas",2005
Ahmet Zorlu,60,1,Turkey,"Turkey , Istanbul",2005
