name,wealth,country,year,age 
"Sarmiento Angulo, Luis Carlos",1.6,Colombia,1999,
"Schmidt, Karl Gerhard",1.6,Germany,1999,
Shoji Uehara,1.6,Japan,1999,
"Wang, Patrick",1.6,Hong Kong,1999,
"Weston, Garry and family",1.6,UK,1999,
"Azevedo, Belmiro",1.5,Portugal,1999,
"Chang, Yung Fa",1.5,Taiwan,1999,
"Fujita, Den",1.5,Japan,1999,
Liebherr family,1.5,Switzerland,1999,
"Luksic, Andronico and family",1.5,Chile,1999,
"McCain, Harrison",1.5,Canada,1999,
"Schroder, Bruno and family",1.5,UK,1999,
"Takizaki, Takemitsu",1.5,Japan,1999,
"Woo, Peter (and Family)",1.5,Hong Kong,1999,
"Yamauchi, Hiroshi",1.5,Japan,1999,
"Aramburuzabala, Maria Asuncion and family",1.4,Mexico,1999,
"Bamford, Sir Anthony and family",1.4,UK,1999,
"Hayek, Nicolas",1.4,Switzerland,1999,
Mabuchi family,1.4,Japan,1999,
"Nambu, Yasuyuki",1.4,Japan,1999,
"Peralta, Carlos",1.4,Mexico,1999,
"Salinas Pliego, Ricardo and family",1.4,Mexico,1999,
"Ardila Lulle, Carlos",1.3,Colombia,1999,
"Asper, Israel",1.3,Canada,1999,
"Bozano, Julio",1.3,Brazil,1999,
"Busujima, Kunio",1.3,Japan,1999,
"Fukutake, Soichiro",1.3,Japan,1999,
Kenkichi Nakajima,1.3,Japan,1999,
"Koplowitz, Esther",1.3,Spain,1999,
Michael Hilti,1.3,Liechtenstein,1999,
"Morita, Akio",1.3,Japan,1999,
"Osano, Masakuni",1.3,Japan,1999,
"Pattison, Jim",1.3,Canada,1999,
"Rupert, Johann and family",1.3,South Africa,1999,
"Ambani, Dhirubhai and family",1.2,India,1999,
Haindl,1.2,GERMANY,1999,
"Kuo, Terry",1.2,Taiwan,1999,
"Lin, Barry (Pai-li)",1.2,Taiwan,1999,
"Matte, Eliodoro",1.2,Chile,1999,
"Merckle, Adolf and family",1.2,Germany,1999,
"Nadar, Shiv",1.2,India,1999,
"Noboa, Alvaro",1.2,Ecuador,1999,
"Rogers, Edward S. (Ted)",1.2,Canada,1999,
Simon family,1.2,Germany,1999,
"Toyoda, Shoichiro",1.2,Japan,1999,
"Birla, Kumar Mangalam",1.1,India,1999,
"Diehl, Karl And Family",1.1,Germany,1999,
"Diniz, Abilio family",1.1,Brazil,1999,
Lee Hon Chiu,1.1,Hong Kong,1999,
Rochling,1.1,Germany,1999,
"Santo Domingo, Julio Mario",1.1,Colombia,1999,
Stroeher,1.1,Germany,1999,
"Al Fahim, Mohammed",1,UAE,1999,
"Champalimaud, Antonio",1,Portugal,1999,
"Cutrale, Jose and family",1,Brazil,1999,
"Ecclestone, Bernie",1,UK,1999,
"Godrej, Adi and family",1,India,1999,
"Hinduja, Srichand, Gopichand",1,India,1999,
"Koplowitz, Alicia",1,Spain,1999,
Lee Family,1,Singapore,1999,
"Lewis, Joseph",1,UK,1999,
"Said, Jose And Jaime",1,Chile,1999,
Tiong Hiew King,1,Malaysia,1999,
"Vidigal, Gaston",1,Brazil,1999,
"Yeoh, Francis",1,Malaysia,1999,
