"","year","list","name","last_name","net_worth_change.millions","age","source","industry","gender","country","timestamp","net_worth.realtime.millions","real_time.rank","real_time.position","squareImage","headquarters","state","title.company","position","rank","net_worth.millions","is.government","url.bio.forbes","url.image"
"705",2001,"Billionaires","Chen Xiaoying","Chen",15.206,41,"package delivery","Logistics","F","China",2018-02-13 23:10:01,1561.908,1495,1495,NA,NA,"Shanghai",NA,NA,NA,NA,FALSE,"http://www.forbes.com/profile/chen-xiaoying","http://i.forbesimg.com/media/lists/people/no-pic-female_200x200.jpg"
"706",2001,"Billionaires","Chen Xiaxin & family","Chen",5.452,55,"manufacturing","Diversified","M","China",2018-02-13 23:10:01,1092.721,1904,1904,NA,NA,"Zhejiang",NA,NA,NA,NA,FALSE,"http://www.forbes.com/profile/chen-xiaxin","http://i.forbesimg.com/media/lists/people/no-pic_200x200.jpg"
"707",2001,"Billionaires","Chen Xueli","Chen",26.942,67,"pharmaceuticals","Healthcare","M","China",2018-02-13 23:10:01,1732.836,1359,1359,"//specials-images.forbesimg.com/imageserve/589ceb5c4bbe6f0e5586699b/416x416.jpg?background=000000&cropX1=19&cropX2=713&cropY1=35&cropY2=730",NA,"Shandong",NA,NA,NA,NA,FALSE,"http://www.forbes.com/profile/chen-xueli","http://i.forbesimg.com/media/lists/people/no-pic_200x200.jpg"
"708",2001,"Billionaires","Chen Yung-Tai","Chen",0,82,"real estate","Real Estate","M","Taiwan",2018-02-13 23:10:01,1964.133,1238,1238,"//specials-images.forbesimg.com/imageserve/250aa73982fb534adec6178d9b3218ff/416x416.jpg?background=000000&cropX1=126&cropX2=550&cropY1=409&cropY2=833",NA,NA,NA,NA,NA,NA,FALSE,"http://www.forbes.com/profile/chen-yung-tai","http://i.forbesimg.com/media/lists/people/chen-yung-tai_200x200.jpg"
"709",2001,"Billionaires","Cheng Wei","Cheng",0,35,"ride-hailing service","Service","M","China",2018-02-13 23:10:01,1200,1818,1818,"//specials-images.forbesimg.com/imageserve/59162c8931358e03e5590c24/416x416.jpg?background=000000&cropX1=1046&cropX2=3177&cropY1=126&cropY2=2256",NA,"Beijing","Founder and CEO, Didi Chuxing",NA,NA,NA,FALSE,"http://www.forbes.com/profile/cheng-wei","http://i.forbesimg.com/media/lists/people/cheng-wei_200x200.jpg"
"710",2001,"Billionaires","Cheng Xianfeng","Cheng",-7.924,49,"pharmaceuticals","Healthcare","M","China",2018-02-13 23:10:01,1388.478,1646,1646,NA,NA,"Anhui",NA,NA,NA,NA,FALSE,"http://www.forbes.com/profile/cheng-xianfeng","http://i.forbesimg.com/media/lists/people/no-pic_200x200.jpg"
"711",2001,"Billionaires","Cheng Xue","Cheng",-0.806,47,"soy sauce","Food and Beverage","F","China",2018-02-13 23:10:01,2157.369,1127,1127,NA,NA,"Guangdong",NA,NA,NA,NA,FALSE,"http://www.forbes.com/profile/cheng-xue","http://i.forbesimg.com/media/lists/people/no-pic-female_200x200.jpg"
"712",2001,"Billionaires","Cheung Yan","Cheung",15.277,61,"paper manufacturing","Manufacturing","F","China",2018-02-13 23:10:01,1772.938,1332,1332,"//specials-images.forbesimg.com/imageserve/589dfbf831358e1a35ab1599/416x416.jpg?background=000000&cropX1=0&cropX2=744&cropY1=150&cropY2=894",NA,"Guangdong",NA,NA,NA,NA,FALSE,"http://www.forbes.com/profile/cheung-yan","http://i.forbesimg.com/media/lists/people/cheung-yan_200x200.jpg"
"713",2001,"Billionaires","Chey Ki-Won","Chey",9.681,53,"computer services, telecom","Technology","F","South Korea",2018-02-13 23:10:01,1452.565,1586,1586,"//specials-images.forbesimg.com/imageserve/553a472de4b0bacdbd7494b1/416x416.jpg?background=000000&cropX1=2&cropX2=744&cropY1=15&cropY2=758",NA,NA,"SK C&#38;C",NA,NA,NA,FALSE,"http://www.forbes.com/profile/chey-ki-won","http://i.forbesimg.com/media/lists/people/chey-ki-won_200x200.jpg"
"714",2001,"Billionaires","Chi Yufeng","Chi",-82.195,47,"software","Technology","M","China",2018-02-13 23:10:01,1363.204,1667,1667,"//specials-images.forbesimg.com/imageserve/589cee684bbe6f0e55866a0c/416x416.jpg?background=000000&cropX1=55&cropX2=727&cropY1=58&cropY2=730",NA,"Beijing",NA,NA,NA,NA,FALSE,"http://www.forbes.com/profile/chi-yufeng","http://i.forbesimg.com/media/lists/people/no-pic_200x200.jpg"
