"","year","list","name","last_name","net_worth_change.millions","age","source","industry","gender","country","timestamp","net_worth.realtime.millions","real_time.rank","real_time.position","squareImage","title.company","headquarters","state","net_worth.millions","position","rank","url.bio.forbes","url.image"
"27",2000,"Billionaires","Stefano Pessina","Pessina",-28.4,76,"drugstores","Fashion & Retail","M","Italy",2018-02-13 23:10:01,NA,NA,NA,"//specials-images.forbesimg.com/imageserve/e7bb0ed1ec9f0f82f6e64049264562ff/416x416.jpg?background=000000&cropX1=5&cropX2=744&cropY1=45&cropY2=785",NA,NA,NA,11803.758,131,131,"http://www.forbes.com/profile/stefano-pessina","http://i.forbesimg.com/media/lists/people/stefano-pessina_200x200.jpg"
"28",2000,"Billionaires","Udo & Harald Tschira","Tschira",-44.305,NA,"software","Technology",NA,"Germany",2018-02-13 23:10:01,NA,NA,NA,NA,NA,NA,NA,11740.931,132,132,"http://www.forbes.com/profile/udo-harald-tschira","http://i.forbesimg.com/media/lists/people/no-pic_200x200.jpg"
"29",2000,"Billionaires","Xu Shihui & family","Xu",133.94,60,"snacks, beverages","Food and Beverage","M","China",2018-02-13 23:10:01,NA,NA,NA,"//specials-images.forbesimg.com/imageserve/5a05f0a14bbe6f37dda22921/416x416.jpg?background=000000&cropX1=9&cropX2=4009&cropY1=480&cropY2=4484","Chairman, Dali Foods Group Co.",NA,"Fujian",11563.735,137,137,"http://www.forbes.com/profile/xu-shihui","http://i.forbesimg.com/media/lists/people/xu-shihui_200x200.jpg"
"30",2000,"Billionaires","Uday Kotak","Kotak",0,58,"banking","Finance and Investments","M","India",2018-02-13 23:10:01,NA,NA,NA,"//specials-images.forbesimg.com/imageserve/59d3d4884bbe6f37dd9fe8da/416x416.jpg?background=000000&cropX1=589&cropX2=1817&cropY1=651&cropY2=1879",NA,NA,NA,10774.245,145,145,"http://www.forbes.com/profile/uday-kotak","http://i.forbesimg.com/media/lists/people/uday-kotak_200x200.jpg"
"31",2000,"Billionaires","Walter P.J. Droege","Droege",0,65,"consulting","Service","M","Germany",2018-02-13 23:10:01,NA,NA,NA,NA,NA,NA,NA,10324.085,150,150,"http://www.forbes.com/profile/walter-pj-droege","http://i.forbesimg.com/media/lists/people/no-pic_200x200.jpg"
"32",2000,"Billionaires","Yan Zhi","Yan",14.917,45,"real estate","Real Estate","M","China",2018-02-13 23:10:01,NA,NA,NA,"//specials-images.forbesimg.com/imageserve/5a05f4aa4bbe6f37dda229b3/416x416.jpg?background=000000&cropX1=1046&cropX2=3661&cropY1=0&cropY2=2613",NA,NA,"Hubei",9935.643,157,157,"http://www.forbes.com/profile/yan-zhi","http://i.forbesimg.com/media/lists/people/yan-zhi_200x200.jpg"
"33",2000,"Billionaires","Thomas Frist Jr & family","Frist",44.716,79,"health care","Healthcare","M","United States",2018-02-13 23:10:01,NA,NA,NA,"//specials-images.forbesimg.com/imageserve/ee825ff539047091cda533423b10d65b/416x416.jpg?background=000000&cropX1=16&cropX2=947&cropY1=153&cropY2=1084",NA,"TN","Tennessee",9625.54,163,163,"http://www.forbes.com/profile/thomas-frist-jr","http://i.forbesimg.com/media/lists/people/thomas-frist-jr_200x200.jpg"
"34",2000,"Billionaires","Viktor Rashnikov","Rashnikov",198.001,69,"steel","Manufacturing","M","Russia",2018-02-13 23:10:01,NA,NA,NA,"//specials-images.forbesimg.com/imageserve/58a2750d4bbe6f0e5586bb02/416x416.jpg?background=000000&cropX1=129&cropX2=726&cropY1=132&cropY2=730",NA,NA,NA,9585.148,164,164,"http://www.forbes.com/profile/viktor-rashnikov","http://i.forbesimg.com/media/lists/people/viktor-rashnikov_200x200.jpg"
"35",2000,"Billionaires","Zong Qinghou","Zong",0,72,"beverages","Food and Beverage","M","China",2018-02-13 23:10:01,NA,NA,NA,"//specials-images.forbesimg.com/imageserve/5a05f1a631358e542c0518f7/416x416.jpg?background=000000&cropX1=348&cropX2=2062&cropY1=4&cropY2=1717","Chairman, Hangzhou Wahaha Group",NA,"Zhejiang",9516.728,167,167,"http://www.forbes.com/profile/zong-qinghou","http://i.forbesimg.com/media/lists/people/zong-qinghou_200x200.jpg"
"36",2000,"Billionaires","Yao Zhenhua","Yao",121.383,48,"conglomerate","Diversified","M","China",2018-02-13 23:10:01,NA,NA,NA,"//specials-images.forbesimg.com/imageserve/5a05f1ffa7ea436b47b53301/416x416.jpg?background=000000&cropX1=687&cropX2=2229&cropY1=154&cropY2=1695","Chairman, Baoneng Group",NA,"Guangdong",9394.738,170,170,"http://www.forbes.com/profile/yao-zhenhua","http://i.forbesimg.com/media/lists/people/yao-zhenhua_200x200.jpg"
"37",2000,"Billionaires","Sunil Mittal & family","Mittal",0,60,"telecom","Telecom","M","India",2018-02-13 23:10:01,NA,NA,NA,"//specials-images.forbesimg.com/imageserve/59cc01034bbe6f37dd9f8f7c/416x416.jpg?background=000000&cropX1=498&cropX2=3389&cropY1=12&cropY2=2905",NA,NA,NA,8844.302,182,182,"http://www.forbes.com/profile/sunil-mittal","http://i.forbesimg.com/media/lists/people/sunil-mittal_200x200.jpg"
"38",2000,"Billionaires","Terry Gou","Gou",-5.726,67,"electronics","Technology","M","Taiwan",2018-02-13 23:10:01,NA,NA,NA,"//specials-images.forbesimg.com/imageserve/594bf97e31358e63562e8b6a/416x416.jpg?background=000000&cropX1=12&cropX2=2891&cropY1=588&cropY2=3468","CEO, Hon Hai Precision",NA,NA,8466.3,185,185,"http://www.forbes.com/profile/terry-gou","http://i.forbesimg.com/media/lists/people/terry-gou_200x200.jpg"
"39",2000,"Billionaires","Stanley Kroenke","Kroenke",0,70,"sports, real estate","Sports","M","United States",2018-02-13 23:10:01,NA,NA,NA,"//specials-images.forbesimg.com/imageserve/59d5866131358e542c035709/416x416.jpg?background=000000&cropX1=531&cropX2=2046&cropY1=86&cropY2=1600",NA,"MO","Missouri",8331,189,189,"http://www.forbes.com/profile/stanley-kroenke","http://i.forbesimg.com/media/lists/people/stanley-kroenke_200x200.jpg"
"40",2000,"Billionaires","Zhou Qunfei","Zhou",287.332,48,"smartphone screens","Technology","F","Hong Kong",2018-02-13 23:10:01,NA,NA,NA,"//specials-images.forbesimg.com/imageserve/561f080ce4b0ffa7afe5df56/416x416.jpg?background=000000&cropX1=108&cropX2=647&cropY1=82&cropY2=622","Founder and CEO, Lens Technology",NA,NA,8234.18,193,193,"http://www.forbes.com/profile/zhou-qunfei","http://i.forbesimg.com/media/lists/people/zhou-qunfei_200x200.jpg"
"41",2000,"Billionaires","Xavier Niel","Niel",-122.936,50,"internet, telecom","Telecom","M","France",2018-02-13 23:10:01,NA,NA,NA,"//specials-images.forbesimg.com/imageserve/58c842b9a7ea431f321b1dfc/416x416.jpg?background=000000&cropX1=16&cropX2=707&cropY1=193&cropY2=884",NA,NA,NA,8102.55,197,197,"http://www.forbes.com/profile/xavier-niel","http://i.forbesimg.com/media/lists/people/xavier-niel_200x200.jpg"
"42",2000,"Billionaires","Sun Piaoyang","Sun",29.328,59,"pharmaceuticals","Healthcare","M","China",2018-02-13 23:10:01,NA,NA,NA,NA,NA,NA,"Jiangsu",8067.078,198,198,"http://www.forbes.com/profile/sun-piaoyang","http://i.forbesimg.com/media/lists/people/sun-piaoyang_200x200.jpg"
"43",2000,"Billionaires","Walter Kwok","Kwok",30.93,67,"real estate","Real Estate","M","Hong Kong",2018-02-13 23:10:01,NA,NA,NA,"//specials-images.forbesimg.com/imageserve/5a579ed2a7ea431690109bf9/416x416.jpg?background=000000&cropX1=583&cropX2=2566&cropY1=11&cropY2=1995",NA,NA,NA,8019.268,201,201,"http://www.forbes.com/profile/walter-kwok","http://i.forbesimg.com/media/lists/people/walter-kwok_200x200.jpg"
"44",2000,"Billionaires","Wu Yajun & family","Wu",197.5,54,"real estate","Real Estate","F","China",2018-02-13 23:10:01,NA,NA,NA,"//specials-images.forbesimg.com/imageserve/5a0c91a431358e286470091b/416x416.jpg?background=000000&cropX1=270&cropX2=3154&cropY1=94&cropY2=2977","Cofounder-chair, Longfor Properties",NA,"Beijing",8016.741,202,202,"http://www.forbes.com/profile/wu-yajun","http://i.forbesimg.com/media/lists/people/wu-yajun_200x200.jpg"
"45",2000,"Billionaires","Silvio Berlusconi & family","Berlusconi",-81.14,81,"media","Diversified","M","Italy",2018-02-13 23:10:01,NA,NA,NA,"//specials-images.forbesimg.com/imageserve/589fada14bbe6f0e55868f25/416x416.jpg?background=000000&cropX1=92&cropX2=648&cropY1=56&cropY2=612",NA,NA,NA,7867.021,206,206,"http://www.forbes.com/profile/silvio-berlusconi","http://i.forbesimg.com/media/lists/people/silvio-berlusconi_200x200.jpg"
"46",2000,"Billionaires","Wang Wenxue","Wang",278.678,50,"real estate","Real Estate","M","China",2018-02-13 23:10:01,NA,NA,NA,"//specials-images.forbesimg.com/imageserve/5a05f56531358e542c051956/416x416.jpg?background=000000&cropX1=223&cropX2=1506&cropY1=3&cropY2=1285",NA,NA,"Beijing",7671.927,213,213,"http://www.forbes.com/profile/wang-wenxue","http://i.forbesimg.com/media/lists/people/wang-wenxue_200x200.jpg"
"47",2000,"Billionaires","Stephen Ross","Ross",0,77,"real estate","Real Estate","M","United States",2018-02-13 23:10:01,NA,NA,NA,"//specials-images.forbesimg.com/imageserve/59d58aee31358e542c03572a/416x416.jpg?background=000000&cropX1=1246&cropX2=4470&cropY1=56&cropY2=3280",NA,"NY","New York",7550.04,216,216,"http://www.forbes.com/profile/stephen-ross","http://i.forbesimg.com/media/lists/people/stephen-ross_200x200.jpg"
"48",2000,"Billionaires","Vincent Bollore & family","Bollore",0,65,"investments","Finance and Investments","M","France",2018-02-13 23:10:01,NA,NA,NA,"//specials-images.forbesimg.com/imageserve/58c842604bbe6f0e55889153/416x416.jpg?background=000000&cropX1=82&cropX2=681&cropY1=216&cropY2=815",NA,NA,NA,7543.6,217,217,"http://www.forbes.com/profile/vincent-bollore","http://i.forbesimg.com/media/lists/people/vincent-bollore_200x200.jpg"
"49",2000,"Billionaires","Sun Hongbin","Sun",215.034,55,"real estate","Real Estate","M","United States",2018-02-13 23:10:01,NA,NA,NA,"//specials-images.forbesimg.com/imageserve/5a0b1f5931358e542c053e93/416x416.jpg?background=000000&cropX1=372&cropX2=2484&cropY1=5&cropY2=2115",NA,NA,"Tianjin",7528.229,218,218,"http://www.forbes.com/profile/sun-hongbin","http://i.forbesimg.com/media/lists/people/sun-hongbin_200x200.jpg"
"50",2000,"Billionaires","Shahid Khan","Khan",0,67,"auto parts","Automotive","M","United States",2018-02-13 23:10:01,NA,NA,NA,"//specials-images.forbesimg.com/imageserve/59d58cb5a7ea436b47b37468/416x416.jpg?background=000000&cropX1=753&cropX2=2780&cropY1=221&cropY2=2249",NA,"FL","Florida",7292.342,227,227,"http://www.forbes.com/profile/shahid-khan","http://i.forbesimg.com/media/lists/people/shahid-khan_200x200.jpg"
"51",2000,"Billionaires","Willi & Isolde Liebherr & family","Liebherr",0,NA,"construction","Construction & Engineering",NA,"Switzerland",2018-02-13 23:10:01,NA,NA,NA,NA,NA,NA,NA,7075.866,237,237,"http://www.forbes.com/profile/willi-isolde-liebherr","http://i.forbesimg.com/media/lists/people/willi-isolde-liebherr_200x200.jpg"
